t,x,y,z,roll,pitch,yaw
1.689680337905883789e+00,-2.328564044611794275e-03,-3.602776426658099284e-03,-1.710291572419467363e-05,4.442212038382388484e-02,3.570760710345573241e-02,8.183328811412041203e-04
1.689727783203125000e+00,-2.328867561196988276e-03,-3.603224250850818339e-03,-1.707266776426780258e-05,4.442235385648996004e-02,3.570757566200177119e-02,8.184454882370004181e-04
1.689742565155029297e+00,-2.328962149140573114e-03,-3.603363759425628338e-03,-1.706324815997553235e-05,4.442232963736739149e-02,3.570757006524037658e-02,8.184448627168280834e-04
1.689755201339721680e+00,-2.329043013535482889e-03,-3.603483004084513316e-03,-1.705520273814125902e-05,4.442236355346425303e-02,3.570756927243531886e-02,8.184041168509839734e-04
1.689767360687255859e+00,-2.329120830009564179e-03,-3.603597736348150039e-03,-1.704746243812492397e-05,4.442237856163396698e-02,3.570753409141312618e-02,8.184131675181675631e-04
1.689779758453369141e+00,-2.329200176754728929e-03,-3.603714708775215651e-03,-1.703956174884954189e-05,4.442233289477363900e-02,3.570754363184176078e-02,8.184023400823594923e-04
1.740506649017333984e+00,-2.598652828223486227e-03,-4.169523069123516439e-03,5.931313050903975223e-05,4.404478171398996250e-02,3.579875959917901140e-02,8.463619498465979780e-04
1.740583181381225586e+00,-2.598975909501834852e-03,-4.170508489592576404e-03,5.949456074310250113e-05,4.404451462123316202e-02,3.579856405038086414e-02,8.462853535546240600e-04
1.740616083145141602e+00,-2.599114716794168750e-03,-4.170932265511182943e-03,5.957247166006310926e-05,4.404461606419780850e-02,3.579861323933489214e-02,8.463149700086372443e-04
1.740647315979003906e+00,-2.599246460428754953e-03,-4.171334645677884055e-03,5.964639087728455075e-05,4.404475990745376074e-02,3.579863808670324249e-02,8.463620722120202434e-04
1.740677356719970703e+00,-2.599373177020500563e-03,-4.171721729443011832e-03,5.971745802925663033e-05,4.404497748894754122e-02,3.579866462975640762e-02,8.463097050927920455e-04
1.799917936325073242e+00,-2.899065527682060522e-03,-4.852174786876457119e-03,2.162639279823475264e-04,4.427157200018206479e-02,3.578409960968699510e-02,9.238212413352698193e-04
1.799994945526123047e+00,-2.899519957506840884e-03,-4.852951330359240277e-03,2.164889104183605781e-04,4.427191713978155529e-02,3.578392028529878838e-02,9.237448955832321378e-04
1.800032138824462891e+00,-2.899739489788852407e-03,-4.853326200991717881e-03,2.165976540370647817e-04,4.427184769896605476e-02,3.578379606203906799e-02,9.238007815776954788e-04
1.800064802169799805e+00,-2.899932281291356124e-03,-4.853655326294190574e-03,2.166931730862688219e-04,4.427171932219273881e-02,3.578378517644584950e-02,9.238462680062253709e-04
1.800095558166503906e+00,-2.900113819681855113e-03,-4.853965207987835304e-03,2.167831135573384063e-04,4.427163795907263638e-02,3.578375546730729745e-02,9.239022365113632200e-04
1.800127029418945312e+00,-2.900299587642551653e-03,-4.854282334412212893e-03,2.168751183515440866e-04,4.427163013591071256e-02,3.578373018240134373e-02,9.238376064428594154e-04
1.859517335891723633e+00,-3.194048238155835009e-03,-5.612806868410033685e-03,2.849163283377517566e-04,4.424853406127404049e-02,3.571694378740439962e-02,9.425003351276381837e-04
1.859605073928833008e+00,-3.194398134983033200e-03,-5.614164054119671898e-03,2.848610528023480743e-04,4.424884768728341161e-02,3.571677928414682124e-02,9.422856760130871511e-04
1.859645843505859375e+00,-3.194560632437212343e-03,-5.614794858095464684e-03,2.848354621235828828e-04,4.424877317136322735e-02,3.571689277585929356e-02,9.422796255427554751e-04
1.859681606292724609e+00,-3.194703150481563534e-03,-5.615348247974006821e-03,2.848130948974013778e-04,4.424883968939265222e-02,3.571677736851053969e-02,9.422493681070017325e-04
1.859716415405273438e+00,-3.194841885080138867e-03,-5.615886895754784204e-03,2.847913708476835126e-04,4.424900313908574495e-02,3.571683643713910450e-02,9.422038726337269611e-04
1.859750509262084961e+00,-3.194977794340547218e-03,-5.616414432262379665e-03,2.847700847631236027e-04,4.424892831185140568e-02,3.571684440240734115e-02,9.422823321152271536e-04
1.910131454467773438e+00,-3.427666660137875139e-03,-6.317034562795634765e-03,1.931103714474135169e-04,4.422931952703543224e-02,3.566279456273999116e-02,1.033425402582297502e-03
1.910222053527832031e+00,-3.428142395960511683e-03,-6.318152287435641751e-03,1.928372279807801523e-04,4.422925498251832621e-02,3.566290676864880549e-02,1.033317182289765924e-03
1.910263538360595703e+00,-3.428360240228469150e-03,-6.318663888071286185e-03,1.927121223417395976e-04,4.422921996636654945e-02,3.566301581401384868e-02,1.033350241447549825e-03
1.910299777984619141e+00,-3.428550518063439197e-03,-6.319110802774615190e-03,1.926028659101756448e-04,4.422920948207086783e-02,3.566301614637915757e-02,1.033308387963705792e-03
1.910334825515747070e+00,-3.428734524668211343e-03,-6.319543094271031468e-03,1.924972486100010993e-04,4.422917699770399086e-02,3.566293484128857383e-02,1.033230033722130773e-03
1.969703197479248047e+00,-3.674419063316032488e-03,-7.210600069710908222e-03,2.424085777774536349e-05,4.412572465889347262e-02,3.574583273065153749e-02,1.171044366028502421e-03
1.969791412353515625e+00,-3.674685944296731538e-03,-7.212160226595981140e-03,2.400658948522487509e-05,4.412581888275296516e-02,3.574626502878518186e-02,1.171093344516520134e-03
1.969830989837646484e+00,-3.674805658702575729e-03,-7.212860362267560325e-03,2.390143860625579383e-05,4.412586115509564699e-02,3.574621384695147314e-02,1.171214299599642036e-03
1.969866752624511719e+00,-3.674913876540271494e-03,-7.213493018814296116e-03,2.380637381500225313e-05,4.412579336096968119e-02,3.574616820638994164e-02,1.171106726933168491e-03
1.969901561737060547e+00,-3.675019239162172994e-03,-7.214108738834170385e-03,2.371382995954117169e-05,4.412593482698369540e-02,3.574609592950889203e-02,1.171048459425767883e-03
1.969935894012451172e+00,-3.675123159534508192e-03,-7.214715911626150453e-03,2.362256976882746418e-05,4.412585880266799848e-02,3.574613797158982670e-02,1.171097097076312550e-03
2.020771503448486328e+00,-3.856796692336780796e-03,-8.011815007079930648e-03,-6.192737458503169918e-05,4.396239892642639369e-02,3.566136483483142716e-02,1.082299867843762023e-03
2.020858287811279297e+00,-3.857154199730047396e-03,-8.013001879550904830e-03,-6.198873698915800486e-05,4.396190261631376800e-02,3.566094124812673599e-02,1.081981165863199132e-03
